age,value
1,0.0
2,0.41900000000000404
3,0.7719999999999985
4,1.1269999999999953
5,1.4840000000000018
6,1.8130000000000024
7,2.987000000000002
8,2.5090000000000003
9,2.6259999999999977
10,2.997
11,3.5529999999999973
12,4.016999999999996
13,4.075000000000003
14,5.1710000000000065
15,4.549000000000007
16,4.231999999999999
17,4.840999999999994
18,5.253
19,5.090999999999994
20,5.724999999999994
21,5.846000000000004
22,6.043000000000006
23,6.346000000000004
24,4.924000000000007
25,5.388000000000005
26,5.320999999999998
27,6.412999999999997
28,5.841999999999999
29,5.974999999999994
30,6.325999999999993
31,6.941999999999993
32,7.126000000000005
33,7.072999999999993
34,7.885999999999996
35,7.772999999999996
36,8.177999999999997
37,8.215999999999994
38,7.316999999999993
39,8.670000000000002
40,8.149000000000001
41,7.484999999999999
42,7.429000000000002
43,8.650000000000006
44,8.944999999999993
45,8.450000000000003
46,8.578999999999994
47,9.281000000000006
48,8.998000000000005
49,9.670000000000002
50,9.497
