age,value
10,2.444999999999993
11,2.9470000000000027
12,3.358000000000004
13,3.3629999999999995
14,4.408000000000001
15,3.736000000000004
16,3.3689999999999998
17,3.9309999999999974
18,4.296999999999997
19,4.088999999999999
20,4.677999999999997
21,4.756
22,4.911000000000001
23,5.174000000000007
24,3.7120000000000033
25,4.135999999999996
26,4.031000000000006
27,5.084999999999994
28,4.477999999999994
29,4.573999999999998
30,4.890000000000001
31,5.471999999999994
32,5.622
33,5.537999999999997
34,6.317999999999998
35,6.173000000000002
36,6.546999999999997
37,6.555000000000007
38,5.626999999999995
39,6.950000000000003
40,6.403999999999996
41,5.715999999999994
42,5.638000000000005
43,6.8359999999999985
44,7.108999999999995
45,6.5930000000000035
46,6.700999999999993
47,7.384
48,7.082999999999998
49,7.736999999999995
50,7.546999999999997
