id,min,max,mean,sd
1,1.772,2.257,2.0741951219512194,0.1355070513870395
10,1.686,2.323,2.1015365853658534,0.17030209886565925
100,1.642,2.491,2.0595609756097564,0.24104056181278788
11,1.526,2.758,2.331560975609756,0.2875265247573246
12,1.241,2.526,2.044439024390244,0.39790237802635003
13,1.622,2.539,2.1570487804878047,0.2523679804590424
14,1.831,3.11,2.3185609756097563,0.4226141886390285
15,1.413,2.752,2.1156097560975606,0.32733995158311946
16,1.541,2.561,2.083609756097561,0.33790619097974367
17,1.396,2.746,2.038414634146342,0.3309405517317088
18,1.583,3.025,2.2621219512195125,0.3113462859198702
19,1.537,2.628,2.2520975609756095,0.2776122119862569
2,1.787,2.888,2.182780487804878,0.33473635238760086
20,1.717,2.805,2.2953414634146343,0.32817324767233064
21,1.563,2.421,2.031780487804878,0.2679655306373491
22,2.023,2.846,2.406780487804878,0.22647908426553678
23,1.457,2.532,2.1548780487804877,0.2409984642193754
24,1.774,2.537,2.206219512195122,0.20552098581350786
25,1.654,2.752,2.1776341463414637,0.2816043994771354
26,1.511,2.443,1.898,0.21611871737542773
27,1.871,2.938,2.3541951219512196,0.2692466545300234
28,1.867,2.389,2.094731707317073,0.13497703960123064
29,1.527,2.749,2.129658536585366,0.3272415476185823
3,2.164,2.735,2.434878048780488,0.12460581750503286
30,1.738,2.504,2.07929268292683,0.22264795573982246
31,1.65,2.357,2.031341463414634,0.2006280899769643
32,1.852,2.888,2.2941219512195126,0.2825980533480328
33,1.304,2.638,1.9109024390243905,0.38009280477786267
34,1.62,2.705,2.1823170731707315,0.2856529746934548
35,1.612,2.501,2.0272195121951224,0.23296561035860228
36,1.526,2.559,1.940975609756097,0.27329594653094275
37,1.446,2.743,2.122512195121951,0.37686729242209516
38,1.705,2.314,2.008341463414634,0.18849384734734678
39,1.729,2.358,2.0141463414634146,0.17351924403010888
4,1.703,2.349,1.9976829268292686,0.19090985294431378
40,1.456,2.623,2.0569024390243906,0.31119124384195396
41,1.44,2.336,1.9565365853658538,0.2683899306569619
42,1.636,2.407,2.0939756097560975,0.16175080955050553
43,1.372,2.469,1.9483170731707318,0.2859113008455936
44,1.589,2.681,2.2155853658536584,0.3261415318239733
45,1.384,2.74,2.193121951219512,0.3930347437009832
46,1.576,2.457,2.061,0.25284056241038544
47,1.192,2.358,1.9680731707317074,0.3016514868390261
48,1.558,2.616,2.031512195121951,0.25967192011759954
49,1.449,2.439,2.0438292682926833,0.2610646378235689
5,1.703,2.352,2.036585365853658,0.19484647489879772
50,1.575,2.544,2.1279999999999997,0.2578610090727173
51,1.678,2.502,2.216146341463415,0.21468995795979953
52,1.715,3.012,2.307268292682927,0.4180494602550184
53,1.302,2.712,2.066658536585366,0.4038597287274443
54,1.588,2.925,2.2253902439024387,0.3497122301299156
55,1.803,2.955,2.4305853658536583,0.2842044137245019
56,1.652,2.887,2.137,0.36866251504594283
57,1.439,2.984,2.1887560975609754,0.4004647163289049
58,1.613,2.63,2.118536585365854,0.3135894686976092
59,1.602,2.76,2.151341463414634,0.2826991872782886
6,1.525,2.72,2.1751951219512193,0.31924976268684957
60,1.621,2.454,2.079609756097561,0.2047272426972996
61,1.389,2.569,1.9147073170731708,0.27506428738591626
62,1.747,2.971,2.3933902439024393,0.3290484674063063
63,1.52,2.776,2.236560975609756,0.36856180274008915
64,1.548,2.552,2.089658536585366,0.2479022599489663
65,1.608,2.784,2.1242439024390243,0.291735049358815
66,1.305,2.613,2.025536585365854,0.349241470730566
67,1.352,2.295,1.8661463414634143,0.2768445015686251
68,1.606,2.659,2.2089268292682926,0.29054736190885494
69,1.569,2.612,2.1119756097560973,0.27622151326470556
7,1.363,2.396,1.8761951219512194,0.3560402519036433
70,1.786,2.451,2.174390243902439,0.18865615256979834
71,1.637,2.643,2.170170731707317,0.3115421241533017
72,1.824,2.858,2.344658536585366,0.27447191201980004
73,1.687,2.469,2.046439024390244,0.1854272160148677
74,1.751,2.821,2.3245365853658537,0.30857487726328076
75,1.609,2.372,2.159292682926829,0.1858065181717852
76,1.628,2.715,2.147439024390244,0.255066270680826
77,1.782,3.078,2.4354878048780484,0.36459197206954647
78,1.708,2.44,2.0003658536585363,0.17689781741128985
79,1.447,2.649,2.0488048780487804,0.344877095463891
8,1.523,2.433,2.0181951219512198,0.2266808571000422
80,1.554,2.785,2.1842439024390243,0.3667577388745741
81,1.75,3.024,2.375560975609756,0.3476878663960311
82,1.563,2.145,1.885829268292683,0.18324640548166618
83,0.962,2.505,2.0026585365853657,0.3755160855247147
84,1.563,2.549,2.060926829268293,0.3259414357092315
85,1.427,2.443,1.9262195121951218,0.28839942026598475
86,1.788,2.704,2.322,0.24197034942322995
87,1.383,2.54,2.0997560975609755,0.3230057879115949
88,1.708,2.557,2.1969756097560977,0.21705477278844595
89,1.064,2.331,1.8057073170731708,0.3556403551273701
9,1.546,2.496,2.1139268292682925,0.24514020378590518
90,1.706,2.744,2.220170731707317,0.31211487488095024
91,1.474,2.924,2.17919512195122,0.4087007596954155
92,1.68,2.441,2.059146341463414,0.188971236035489
93,1.867,2.688,2.237682926829269,0.2651612187919257
94,1.628,2.622,2.0810975609756097,0.24140596563445244
95,1.611,2.601,2.200560975609756,0.22687552190358573
96,1.496,2.322,1.9399756097560978,0.22224935183312436
97,1.443,2.539,2.0989024390243904,0.29602591144003326
98,1.459,2.762,2.046243902439025,0.31553793595127394
99,1.647,2.44,2.021560975609756,0.24415180203927306
999,,,,
