age,value
1,57.639
2,57.899
3,58.341
4,58.925
5,59.129
6,59.868
7,59.938
8,60.183
9,61.339
10,62.588
11,63.626
12,66.333
13,67.367
14,67.627
15,67.656
16,69.106
17,69.210
18,69.434
19,70.462
20,71.223
21,73.199
22,74.698
23,74.756
24,75.186
25,75.871
26,76.881
27,77.574
28,78.485
29,79.426
30,79.474
31,79.973
32,81.599
33,82.069
34,83.457
35,84.222
36,85.204
37,85.369
38,86.059
39,86.488
40,88.327
41,88.945
42,89.496
43,91.317
44,92.191
45,92.316
46,92.429
47,92.649
48,92.846
49,94.541
50,94.769
51,94.930
52,95.676
53,96.844
54,97.462
55,98.986
56,99.120
57,100.300
58,100.576
59,100.843
60,101.810
61,101.899
62,103.172
63,104.185
64,105.277
65,105.411
66,105.935
67,106.118
68,107.752
69,108.453
70,109.367
71,110.093
72,110.181
73,110.424
74,110.524
75,112.658
76,112.759
77,113.136
78,113.393
79,114.297
80,114.707
81,115.575
82,116.355
83,117.204
84,117.668
85,119.396
86,119.466
87,119.524
88,119.686
89,120.501
90,122.499
91,122.557
92,122.886
93,125.249
94,127.382
95,127.911
96,128.014
97,129.749
98,132.261
99,132.294
100,132.476
