age,value
1,3.690
2,2.579
3,1.910
4,4.279
5,3.690
6,2.579
7,1.910
8,4.279
9,3.690
10,2.579
11,1.910
12,4.279
13,3.690
14,2.579
15,1.910
16,4.279
17,3.690
18,2.579
19,1.910
20,4.279
21,3.690
22,2.579
23,1.910
24,4.279
25,3.690
26,2.579
27,1.910
28,4.279
29,3.690
30,2.579
31,1.910
32,4.279
33,3.690
34,2.579
35,1.910
36,4.279
37,3.690
38,2.579
39,1.910
40,4.279
41,3.690
42,2.579
43,1.910
44,4.279
45,3.690
46,2.579
47,1.910
48,4.279
49,3.690
50,2.579
51,1.910
52,4.279
53,3.690
54,2.579
55,1.910
56,4.279
57,3.690
58,2.579
59,1.910
60,4.279
61,3.690
62,2.579
63,1.910
64,4.279
65,3.690
66,2.579
67,1.910
68,4.279
69,3.690
70,2.579
71,1.910
72,4.279
73,3.690
74,2.579
75,1.910
76,4.279
77,3.690
78,2.579
79,1.910
80,4.279
81,3.690
82,2.579
83,1.910
84,4.279
85,3.690
86,2.579
87,1.910
88,4.279
89,3.690
90,2.579
91,1.910
92,4.279
93,3.690
94,2.579
95,1.910
96,4.279
97,3.690
98,2.579
99,1.910
100,4.279
