age,dfi
1,0.605
2,0.634
3,0.712
4,0.796
5,2.37
6,1.46
7,0.445
8,1.352
9,1.352
10,1.971
11,2.191
12,2.034
13,1.8
14,1.384
15,1.549
16,1.838
17,1.755
18,1.768
19,1.805
20,1.595
21,1.685
22,1.669
23,1.647
24,1.747
25,1.9
26,1.983
27,2.106
28,2.142
29,2.196
30,2.201
31,2.335
32,2.473
33,2.418
34,2.4
35,2.553
36,2.52
37,2.505
38,2.539
39,2.578
40,2.585
41,2.584
42,2.74
43,2.663
44,2.703
45,2.65
46,2.594
47,2.563
48,2.549
49,2.469
50,2.531
51,2.43
52,2.496
53,2.672
54,2.797
55,2.802
56,2.783
57,2.879
58,2.993
59,2.976
60,3.022
61,3.283
62,3.289
63,3.118
64,3.006
65,3.125
66,3.179
67,3.242
68,3.441
69,3.581
70,3.455
71,3.593
72,3.574
73,3.463
74,3.41
75,3.368
76,3.287
77,3.298
78,3.249
79,3.236
80,3.22
81,3.211
82,3.208
83,3.204
84,3.207
85,3.21
86,3.217
87,3.225
88,3.235
89,3.246
90,3.258
91,3.271
92,3.285
93,3.3
94,3.315
95,3.331
96,3.347
97,3.364
98,3.381
99,3.398
100,3.416
101,3.433
