age,weight
1,39.5
2,40.461
3,41.183
4,42.117
5,42.947
6,43.723
7,44.699
8,45.722
9,46.779
10,47.62
11,48.379
12,49.298
13,50.171
14,50.988
15,51.723
16,52.687
17,53.892
18,54.897
19,55.829
20,56.716
21,57.559
22,58.74
23,59.819
24,60.751
25,61.855
26,62.868
27,63.963
28,64.617
29,65.639
30,67.044
31,68.232
32,69.258
33,69.829
34,71.13
35,72.489
36,73.602
37,74.975
38,76.497
39,78.108
40,79.531
41,80.696
42,82.061
43,83.463
44,84.733
45,86.331
46,87.365
47,88.364
48,89.634
49,90.576
50,91.976
51,92.906
52,94.167
53,95.256
54,96.367
55,97.664
56,98.95
57,100.091
58,101.301
59,102.355
60,103.531
61,104.562
62,106.169
63,107.413
64,109.042
65,110.175
66,111.779
67,113.214
68,114.333
69,116.106
70,117.089
71,118.387
72,119.555
73,120.749
74,121.915
75,123.04
76,124.193
77,125.265
78,126.356
79,127.417
80,128.468
81,129.503
82,130.527
83,131.542
84,132.538
85,133.527
86,134.505
87,135.477
88,136.442
89,137.4
90,138.353
91,139.299
92,140.242
93,141.18
94,142.114
95,143.045
96,143.974
97,144.898
98,145.82
99,146.74
100,147.658
101,148.574
