age_day_1,age_day_2,age_day_3,age_day_4,age_day_5,age_day_6,age_day_7,pre_dfi_1,pre_dfi_2,pre_dfi_3,pre_dfi_4,pre_dfi_5,pre_dfi_6,pre_dfi_7
8,8,8,8,8,8,8,1.554,1.794,1.735,1.731,1.725,1.595,1.943
9,9,9,9,9,9,9,1.827,1.554,1.794,1.735,1.731,1.725,1.595
10,10,10,10,10,10,10,1.651,1.827,1.554,1.794,1.735,1.731,1.725
11,11,11,11,11,11,11,1.65,1.651,1.827,1.554,1.794,1.735,1.731
12,12,12,12,12,12,12,1.781,1.65,1.651,1.827,1.554,1.794,1.735
13,13,13,13,13,13,13,1.966,1.781,1.65,1.651,1.827,1.554,1.794
14,14,14,14,14,14,14,2.276,1.966,1.781,1.65,1.651,1.827,1.554
15,15,15,15,15,15,15,2.216,2.276,1.966,1.781,1.65,1.651,1.827
16,16,16,16,16,16,16,2.167,2.216,2.276,1.966,1.781,1.65,1.651
17,17,17,17,17,17,17,2.554,2.167,2.216,2.276,1.966,1.781,1.65
18,18,18,18,18,18,18,2.23,2.554,2.167,2.216,2.276,1.966,1.781
19,19,19,19,19,19,19,2.14,2.23,2.554,2.167,2.216,2.276,1.966
20,20,20,20,20,20,20,2.295,2.14,2.23,2.554,2.167,2.216,2.276
21,21,21,21,21,21,21,2.219,2.295,2.14,2.23,2.554,2.167,2.216
22,22,22,22,22,22,22,2.254,2.219,2.295,2.14,2.23,2.554,2.167
23,23,23,23,23,23,23,2.12,2.254,2.219,2.295,2.14,2.23,2.554
24,24,24,24,24,24,24,1.926,2.12,2.254,2.219,2.295,2.14,2.23
25,25,25,25,25,25,25,2.367,1.926,2.12,2.254,2.219,2.295,2.14
26,26,26,26,26,26,26,2.6,2.367,1.926,2.12,2.254,2.219,2.295
27,27,27,27,27,27,27,2.192,2.6,2.367,1.926,2.12,2.254,2.219
28,28,28,28,28,28,28,2.379,2.192,2.6,2.367,1.926,2.12,2.254
29,29,29,29,29,29,29,2.223,2.379,2.192,2.6,2.367,1.926,2.12
30,30,30,30,30,30,30,2.805,2.223,2.379,2.192,2.6,2.367,1.926
31,31,31,31,31,31,31,2.402,2.805,2.223,2.379,2.192,2.6,2.367
32,32,32,32,32,32,32,2.385,2.402,2.805,2.223,2.379,2.192,2.6
33,33,33,33,33,33,33,2.747,2.385,2.402,2.805,2.223,2.379,2.192
