id,age,dfi,weight
999,1,1.916,25.0
999,2,1.947,
86,1,1.943,57.504
86,2,1.595,58.551
86,3,1.725,59.597
86,4,1.731,60.644
86,5,1.735,61.691
86,6,1.794,62.737
86,7,1.554,64.5
86,8,1.827,64.75
86,9,1.651,65.5
86,10,1.65,66.5
86,11,1.781,67.75
86,12,1.966,69.0
86,13,2.276,70.0
86,14,2.216,72.0
86,15,2.167,72.25
86,16,2.554,73.0
86,17,2.23,74.5
86,18,2.14,75.75
86,19,2.295,76.5
86,20,2.219,78.0
86,21,2.254,79.0
86,22,2.12,80.0
86,23,1.926,81.0
86,24,2.367,80.5
86,25,2.6,82.0
86,26,2.192,82.75
86,27,2.379,84.75
86,28,2.223,85.0
86,29,2.805,86.25
86,30,2.402,87.5
86,31,2.385,89.0
86,32,2.747,90.25
86,33,2.256,91.0
86,34,3.007,93.0
86,35,2.883,94.0
86,36,2.866,95.5
86,37,2.627,96.5
86,38,2.52,96.5
86,39,3.011,99.0
86,40,1.821,99.0
86,41,2.099,99.0
86,42,1.897,99.5
86,43,2.572,101.625
86,44,2.442,102.75
86,45,2.289,103.0
86,46,2.541,104.0
86,47,2.411,105.5
86,48,2.392,106.0
86,49,2.489,107.5
86,50,2.682,108.25
86,51,2.525,108.5
86,52,2.973,110.0
86,53,2.7,111.0
86,54,2.752,111.0
86,55,2.783,111.0
86,56,3.144,112.5
86,57,2.707,113.5
86,58,2.815,115.5
86,59,3.375,117.0
86,60,2.747,118.0
86,61,3.0,120.5
86,62,2.56,121.0
86,63,3.172,121.5
86,64,2.658,122.625
86,65,3.185,123.5
86,66,3.126,122.5
86,67,2.666,125.0
86,68,3.372,126.0
86,69,2.008,125.25
86,70,2.869,127.75
86,71,3.217,129.0
86,72,2.566,131.0
86,73,2.835,131.25
86,74,3.441,131.0
86,75,2.058,133.0
86,76,3.229,132.5
83,1,1.136,54.692
83,2,1.345,55.554
83,3,1.13,56.416
83,4,1.118,57.279
83,5,1.845,58.141
83,6,1.057,59.003
83,7,0.447,61.5
83,8,0.176,60.5
83,9,0.753,60.25
83,10,1.371,61.5
83,11,1.378,63.0
83,12,1.838,64.5
83,13,1.571,65.5
83,14,1.647,67.0
83,15,1.837,67.0
83,16,1.679,67.5
83,17,1.711,68.0
83,18,1.933,69.0
83,19,1.968,69.625
83,20,1.829,71.75
83,21,1.519,71.5
83,22,1.713,73.5
83,23,1.733,74.0
83,24,1.569,73.25
83,25,1.717,73.5
83,26,1.567,74.0
83,27,1.877,75.5
83,28,1.849,78.0
83,29,2.343,78.75
83,30,1.892,78.75
83,31,2.132,80.0
83,32,2.256,80.5
83,33,1.788,81.0
83,34,2.535,82.5
83,35,2.414,84.0
83,36,2.499,84.5
83,37,2.42,86.0
83,38,2.153,87.5
83,39,2.325,88.375
83,40,2.321,89.0
83,41,2.254,89.75
83,42,2.163,89.0
83,43,2.564,92.0
83,44,2.335,92.75
83,45,2.314,93.0
83,46,2.374,95.0
83,47,2.102,95.0
83,48,2.643,96.0
83,49,2.367,97.0
83,50,2.213,97.25
83,51,2.53,99.0
83,52,1.799,99.0
83,53,2.931,100.0
83,54,2.811,102.0
83,55,2.452,102.0
83,56,2.657,102.5
83,57,2.609,104.25
83,58,2.036,105.5
83,59,2.816,106.5
83,60,2.536,107.5
83,61,2.419,109.25
83,62,2.229,110.25
83,63,2.663,110.125
83,64,2.72,112.0
83,65,2.462,112.75
83,66,2.398,113.0
83,67,2.78,114.0
83,68,3.183,116.0
83,69,2.531,116.5
83,70,2.592,120.25
83,71,3.018,119.5
83,72,2.799,120.25
83,73,3.331,121.25
83,74,2.854,123.5
83,75,3.007,123.0
83,76,2.572,124.0
4,1,1.517,36.5
4,2,1.644,38.5
4,3,1.602,39.339
4,4,1.607,40.39
4,5,1.792,42.0
4,6,1.374,43.0
4,7,1.773,43.5
4,8,1.613,44.5
4,9,1.687,45.5
4,10,1.414,46.5
4,11,1.702,47.5
4,12,1.562,48.25
4,13,1.95,49.75
4,14,1.483,51.0
4,15,1.604,51.5
4,16,1.775,52.0
4,17,1.664,53.0
4,18,1.81,54.0
4,19,1.892,55.5
4,20,1.95,56.25
4,21,1.912,58.0
4,22,1.562,58.0
4,23,1.675,58.25
4,24,1.742,58.5
4,25,1.764,60.5
4,26,1.748,61.0
4,27,2.188,62.5
4,28,1.856,63.5
4,29,1.663,64.0
4,30,1.935,65.5
4,31,1.954,66.5
4,32,2.008,67.0
4,33,2.188,68.25
4,34,1.885,69.5
4,35,2.154,70.5
4,36,2.42,71.5
4,37,1.568,72.5
4,38,2.444,72.5
4,39,1.572,73.5
4,40,2.338,74.5
4,41,1.748,76.5
4,42,2.111,77.5
4,43,2.479,79.0
4,44,1.955,80.0
4,45,2.125,81.0
4,46,2.208,81.75
4,47,2.186,81.0
4,48,1.991,82.0
4,49,2.627,84.0
4,50,1.87,85.5
4,51,2.116,86.375
4,52,2.665,86.5
4,53,2.04,82.5
4,54,3.012,84.125
4,55,1.597,85.25
4,56,2.218,86.0
4,57,2.032,86.0
4,58,2.036,86.5
4,59,1.518,87.5
4,60,2.373,88.25
4,61,1.614,90.0
4,62,2.398,90.75
4,63,2.149,92.0
4,64,1.923,93.5
4,65,2.677,95.0
4,66,2.31,95.5
4,67,2.435,97.0
4,68,2.105,98.25
4,69,2.391,98.5
4,70,2.492,101.0
4,71,1.878,102.5
4,72,2.898,102.25
4,73,1.998,103.0
4,74,2.333,103.25
4,75,2.007,104.75
4,76,2.277,104.5
74,1,1.038,60.29
74,2,1.564,61.246
74,3,1.464,62.203
74,4,1.524,63.159
74,5,1.847,64.115
74,6,1.642,65.071
74,7,1.829,66.0
74,8,1.569,67.0
74,9,1.796,67.75
74,10,1.863,69.0
74,11,1.817,69.5
74,12,2.041,71.0
74,13,1.824,72.25
74,14,2.221,73.0
