id,min,max,mean,sd
100,0.904,1.851,1.63925,0.281139387605433
10,1.175,2.044,1.71475,0.25877034626336753
11,0.704,2.142,1.54175,0.5157076767847623
13,0.969,2.004,1.6678000000000002,0.26233437882936633
17,0.842,1.817,1.44985,0.30727242755711437
19,0.67,2.235,1.6814,0.4709964129933811
1,1.01,2.057,1.7627,0.2675867001651299
20,0.683,1.96,1.6492999999999998,0.30776787219899143
21,0.987,1.804,1.5155999999999996,0.25615792826013856
23,0.846,2.01,1.6113,0.2941319252880996
25,0.787,2.08,1.68525,0.34681648036480556
28,1.308,2.085,1.8421500000000002,0.21336730746470237
29,0.324,1.995,1.5676,0.3932895545068678
30,1.255,1.89,1.7116000000000002,0.1685068794472577
31,1.321,1.864,1.6685500000000002,0.16215991944276553
32,0.683,2.19,1.75795,0.41380410760852077
35,0.771,2.002,1.6350499999999997,0.28305094854757895
37,0.799,1.906,1.5507500000000003,0.27708195158605486
38,1.032,1.845,1.6233499999999998,0.25690163487218215
3,1.203,2.589,2.1382000000000003,0.3024098995873334
42,0.864,2.079,1.6637,0.3484029880831437
43,0.591,1.759,1.3721500000000002,0.33281831221759484
46,0.533,1.927,1.54205,0.3117486293389866
47,0.046,1.963,1.23215,0.5595430725154231
4,1.374,1.893,1.7059000000000002,0.11613553787663247
55,0.744,2.155,1.7032,0.49207975391243874
58,0.654,1.951,1.51185,0.3015629942046673
5,0.676,1.942,1.61895,0.32470496324801496
60,0.176,2.036,1.57475,0.4876914333987489
65,0.863,1.925,1.5403,0.299811361745313
68,0.923,2.073,1.7394000000000003,0.31808744246296733
72,1.338,2.264,1.9364500000000002,0.23594813770023804
74,1.038,2.065,1.79145,0.25238639445355043
75,1.209,2.136,1.7432000000000003,0.25325867782711187
76,1.275,2.003,1.7163500000000003,0.21543255752579568
78,1.37,1.927,1.7228999999999999,0.15639252236801984
79,0.921,1.954,1.50195,0.299145005324385
81,0.781,2.138,1.7814999999999999,0.2981761224511446
82,1.493,1.764,1.66065,0.0698345978196451
83,0.447,1.925,1.3817000000000002,0.3937822133857081
84,0.927,1.828,1.5961000000000003,0.22618830068865423
85,0.833,1.754,1.4595500000000001,0.25746118256217926
86,1.554,2.467,1.9819166666666668,0.2665880907785033
87,0.558,1.908,1.5256,0.33857540557925625
88,1.159,2.065,1.7282499999999998,0.2807412884714886
8,0.615,1.907,1.54415,0.3323074472136973
91,0.444,2.024,1.48325,0.40072393371575843
92,1.002,1.944,1.6279500000000002,0.28037183487196726
94,0.695,1.989,1.56095,0.3797720195618751
999,1.916,1.947,1.9315,0.021920310216783073
99,0.879,1.908,1.5340000000000003,0.3072286993173172
